id,vid,nid,title,additional_information,eligibility,evaluation,long_description,max_turnover,max_business_age,max_employees,max_grant_value,min_turnover,min_business_age,min_employees,min_grant_value,organiser,short_description,url,will_continue_on,contact_details
1,16871,10337,"Urban Development Grant (UDG) - Belfast","<p>Projects which may attract funding include physical developments to:</p> <ul> <li>commercial or retail premises</li> <li>light industrial plants</li> <li>inner-city housing</li> </ul> ","<p>Projects must be located in Neighbourhood Renewal Areas (see website for further details).</p> <p>Projects must show that they can not go ahead without the Urban Development Grant.</p> ","<p>The ratio of the applicants' investments to public spend will be an important factor in the appraisal of projects.</p> ","<p>Provides discretionary grants for the development of vacant, derelict or underused land and buildings. The scheme aims to promote job creation, inward investment and environmental improvement.</p> ",,0,249,0,,0,1,0,"Belfast Regeneration Office","Grants for the development of vacant, derelict and underused land or buildings",http://www.dsdni.gov.uk/udg,"Belfast Regeneration Office website","Belfast Regeneration Office bro@dsdni.gov.uk 02890 819 654 James House 2-4 Cromac Avenue Gasworks Business Park Ormeau Road Belfast BT7 2JA"
2,17435,10341,"Access to Work - London",,"<p>Disabled employees and their employers are eligible to apply for grants under this scheme.</p> ",,"<p>This scheme provides grants to employers towards extra employment costs which result from an employee having a disability. The programme aims to provide practical advice and support to disabled people and their employers, in order to overcome work related obstacles which result from disability.</p> ",,0,249,10000,,0,1,0,"Jobcentre Plus","Grants and practical advice for disabled people and their employers to help overcome the practical problems resulting from disability",http://www.direct.gov.uk/en/DisabledPeople/Employmentsupport/WorkSchemesAndProgrammes/DG_4000347,"Jobcentre Plus website","Jobcentre Plus atwosu.london@jobcentreplus.gsi.gov.uk 020 8426 3110 Access to Work Operational Support Nine Elms Lane London SW95 9BH"
3,12153,10343,"Co-operative and Community Finance","<p>The scheme also offers free business advice.</p> ","<p>Applicants must be looking to start, expand or take over a co-operative, employee owned business or social enterprise.</p> ","<p>Applicants must provide:</p> <ul> <li>a completed application form</li> <li>a detailed business plan</li> <li>membership, constitution and management structure details</li> <li>audited accounts or financial requirements</li> </ul> ","<p>This scheme encourages workers to collectively own and manage the company they work for. Funds may be used to:</p> <ul> <li>buy out existing company owners</li> <li>purchase premises or equipment</li> <li>replace inappropriate funding</li> <li>provide working capital</li> </ul> ",,0,249,0,,0,1,0,"Co-operative and Community Finance Head Office","Finance for workers' co-operatives and community businesses",http://www.icof.co.uk/index.php?content=borrow,"Co-operative and Community Finance Head Office website","Co-operative and Community Finance Head Office info@co-operativeandcommunityfinance.coop 01179 166 750 Brunswick Court Brunswick Square Bristol BS2 8PE"
4,14916,10344,"Year in Industry","<p>A one off charge of &amp;pound;1,950 + VAT per student which covers:</p> <ul> <li>all recruitment issues</li> <li>a pre-interview by The Year in Industry staff</li> <li>on going support and training throughout the year</li> </ul> ","<p>Businesses must be located in the UK and agree to provide the student with competitive pay, real work experience and full support throughout the year. They must also accept the extra training provided, which may be on a day release system.</p> ",,"<p>This scheme provides businesses with assistance in recruiting students for gap year placements. Companies can benefit from an inexpensive way of employing high quality staff without the need for long-term employment, as well as the first link to potential graduate recruits.</p> ",,0,249,0,,0,1,0,"Year In Industry","Helps businesses to recruit students for gap year placements",http://www.yini.org.uk/companies.php,"Year In Industry website","Year In Industry 023 8059 7061 University of Southampton Southampton SO17 1BJ"
5,12157,10347,"The Queen's Awards for Enterprise - Innovation","<p>Achievements may be assessed for any of the following:</p> <ul> <li>invention, design, production of goods</li> <li>performance of services</li> <li>marketing, distribution and after sale support of goods or services</li> </ul> ","<p>Businesses must:</p> <ul> <li>be based in the UK and employ at least two full-time employees</li> <li>demonstrate substantial improvement in business performance and commercial success</li> </ul> ",,"<p>Annual awards to recognise and reward UK companies that have developed commercially successful innovative products or services. Businesses may apply under the following criteria:</p> <ul> <li>outstanding innovation sustained over two years or more</li> <li>continuous innovation sustained over two years or more</li> </ul> ",,0,249,0,,0,2,0,"The Queen's Award Office","Gives businesses the chance to compete for an award acknowledging significant achievement in innovation",https://www.gov.uk/queens-awards,"The Queen's Award Office website","The Queen's Award Office info@queensawards.org.uk 020 7222 2277 151 Buckingham Palace Road London SW1H 0ET"
6,14908,10348,"The Queen's Awards for Enterprise - International Trade","<p>Businesses may enter on the following criteria:</p> <ul> <li>outstanding achievement resulting in substantial growth in overseas earnings, sustained over three years or more</li> <li>continuous achievement resulting in substantial growth in overseas earnings, sustained over six years or more</li> </ul> ","<p>Businesses must be operating regularly as a unit of the UK economy and have achieved a minimum of &amp;#163;100,000 sales each year of their application.</p> ",,"<p>This annual award recognises export achievement and outstanding performance in international trading.</p> ",,0,249,0,,0,1,0,"The Queen's Award Office","Recognises outstanding achievements in overseas earnings by UK businesses",https://www.gov.uk/queens-awards,"The Queen's Award Office website","The Queen's Award Office info@queensawards.org.uk 020 7222 2277 151 Buckingham Palace Road London SW1H 0ET"
7,17673,10349,"The Queen's Awards for Enterprise - Sustainable Development","<p>Achievements should be in some or all of the following:</p> <ul> <li>the invention, design, and production of goods</li> <li>the performance of services</li> <li>the marketing, distribution and after sale support of goods or services</li> <li>the management of resources and relationships with people or organisations</li> </ul> ","<p>Businesses must be based in the UK and employ at least two full-time employees.</p> ","<p>Businesses may enter to be evaluated on:</p> <ul> <li>outstanding achievement over a period of two years or more</li> <li>continuous achievement over a period of five years or more</li> </ul> ","<p>This annual award recognises companies which have integrated environmental, social, economic and management aspects of sustainable development into their business.</p> ",,0,249,0,,0,2,0,"The Queen's Award Office","Recognises commercially successful products, services and approaches to management which might benefit the environment, society and the wider economy",https://www.gov.uk/queens-awards,"The Queen's Award Office website","The Queen's Award Office info@queensawards.org.uk 020 7222 2277 151 Buckingham Palace Road London SW1H 0ET"
8,17423,10351,"Small Business Assistance Grant - Inverclyde",,"<p>Businesses must:</p> <ul> <li>supply a business plan and financial projections</li> <li>have a clearly defined market</li> <li>be based in Inverclyde</li> <li>investigate banks and traditional sources of finance prior to application</li> </ul> ",,"<p>Financial assistance available to businesses in Inverclyde for capital expenditure projects that will stimulate business growth.</p> ",,0,249,5000,,0,1,0,"Inverclyde Council","Grant support for small and medium-sized businesses in Inverclyde",http://www.inverclyde.gov.uk/business-and-trade/business-development/small-business-assistance-grant/,"Inverclyde Council website","Inverclyde Council eds.enquiries@inverclyde.gov.uk 01475 715 555 Business Store 75 - 81 Cathcart Street Greenock PA15 1DE"
9,17438,10352,"Work Trials","<p>Some categories of jobseeker may be allowed early access to the programme, including people with disabilities and ex-offenders.</p> <p>Individuals must usually be aged 25 or over and have been unemployed for six months or more.</p> ","<p>Businesses must be located in the UK and have a job vacancy that is for 16 hours or more per week.</p> <p>Jobseekers must meet the eligibility conditions.</p> ",,"<p>This scheme offers work trials for unemployed people with employers for up to 15 working days, enabling them to show what they are capable of doing.</p> <p>Individuals continue to receive their benefits and are paid travel expenses and a meal allowance of &amp;pound;3.00 per day.</p> ",,0,249,0,,0,1,0,"Jobcentre Plus","Encourages businesses to recruit unemployed people",http://www.businesslink.gov.uk/bdotg/action/detail?r.lc=en&type=RESOURCES&itemId=1084072923,"Jobcentre Plus website","Jobcentre Plus 0845 601 2001 Level 2 Rockingham House 123 West Street Sheffield S1 4ER"
10,16415,10356,"Advisory Services - Fermanagh",,"<p>New and established businesses based in the Fermanagh district may apply.</p> ",,"<p>Businesses based in Fermanagh can obtain free, confidential advice and information from accredited business advisers. Businesses with more specific enquiries can access consultancy services to assist with issues such as:</p> <ul> <li>business plans</li> <li>marketing plans</li> <li>market research studies</li> <li>feasibility studies</li> <li>recruitment</li> <li>implementation of quality management systems</li> </ul> ",,0,249,0,,0,1,0,"Fermanagh Enterprise Limited","Support and guidance to pre-start, start-up and growth businesses in Fermanagh",http://www.fermanaghenterprise.com/index.php?option=com_content&task=view&id=15&Itemid=44,"Fermanagh Enterprise Limited website","Fermanagh Enterprise Limited info@fermanaghenterprise.com 028 6632 7348 Enniskillen Business Centre Lackaghboy Industrial Estate Enniskillen Fermanagh BT74 4RL"
