LGSL,Description,Providing Tier
1,Find out about educating your child at home,county/unitary
2,Find out about help with school clothing costs,county/unitary
3,Find out about home to school travel support,county/unitary
4,Find out about free school meals,county/unitary
9,Find out about an assessment of special educational needs,county/unitary
12,Find out about nursery school places,county/unitary
13,Find out about primary school places,county/unitary
14,Find out about secondary school places,county/unitary
18,Find out about school holiday schemes,all
19,Find out about after/before school childcare,county/unitary
35,Find out about school truancy,county/unitary
36,Find out school term dates,county/unitary
40,Find out abut school transport for a child with special educational needs,county/unitary
48,Find out about performance/stage licences for school age children,county/unitary
55,Find out about business rates relief,district/unitary
57,Find out more about  council tax,district/unitary
59,Find out about discounts on council tax,district/unitary
63,Find out about council tax benefit,district/unitary
69,Find out about housing benefit,district/unitary
72,Find out about appeals relating to housing benefit decisions,district/unitary
88,Find out about mutual council home exchange,district/unitary
90,Find out about appealing against  a rehousing decision,district/unitary
92,Find out about applying for a council home,district/unitary
101,Find out about squatters and unauthorised occupants in council property,district/unitary
107,Find out about sheltered and supported housing,all
112,Find out about advice for homeless people,district/unitary
115,Find out about renting a council garage,district/unitary
124,Find out about making insurance claims against the council,district/unitary
137,Find out about the Disability Facility Grant,district/unitary
141,Find out about repairs to council properties,district/unitary
147,Find out about garden maintenance for elderly or disabled council tenants,district/unitary
151,Find out about the right to buy scheme,district/unitary
159,Find out about fostering a child,county/unitary
160,Find out about adopting a child,county/unitary
178,Find out about equipment and adaptions to the home for disabled people,county/unitary
209,Find out about a needs assessment by social services,county/unitary
260,Find out about short term breaks for carers of children,county/unitary
272,Find out about community transport schemes,district/unitary
273,Find out about older person's bus pass,county/unitary
274,Find out about parking bays for registered disabled drivers,county/unitary
279,Find out about Blue Badge parking permits,county/unitary
280,Find out about the disabled person's bus pass,county/unitary
287,Find out about direct payments,county/unitary
296,Find out about day centres,county/unitary
297,Find out about local support groups and organisations,all
313,Find out about community alarm services,district/unitary
315,Find out about mobile meals service,county/unitary
328,Find out about the bereavement service,district/unitary
353,Find out about complaints procedure,all
358,Find out about your local councillors,all
364,Find out more about the electoral register,district/unitary
372,Find out about abandoned vehicles,district/unitary
412,Find out about noise nuisance,district/unitary
415,Find out about asbestos removal,district/unitary
428,Find out about removal and disposal of syringes,district/unitary
431,Find out about pest control,district/unitary
432,Find out about the dog warden service,district/unitary
437,Find out about library services,county/unitary
438,Find out about joining a library,county/unitary
439,Search the library catalogue,county/unitary
440,Find out about library loans,county/unitary
442,Find out about internet access in a library,county/unitary
444,Find out about mobile libraries,county/unitary
448,Find out about archives,county/unitary
461,Find out about local parks,all
471,Find out about parking fines,all
474,Find out about parking permits,all
477,Find out how to apply for a dropped kerb,county/unitary
493,Find out about local transport policy,county/unitary
499,Find out about building regulations,district/unitary
508,Find out about tree preservation orders,district/unitary
510,Find out about allotments,district/unitary
512,Find out about carrying out works on a property in a conservation area,district/unitary
516,Search the register of planning decisions,district/unitary
524,Find out which day the refuse is collected,district/unitary
528,Find out about special collections for large items,district/unitary
530,Find out about disposing of garden waste,district/unitary
533,Find out more about recycling collections,district/unitary
537,Find out more about pavement problems,county/unitary
541,Find out about street name plates,district/unitary
546,Find out more about safe routes to school,county/unitary
550,Find out more about road obstructions,county/unitary
555,Find out more about road flooding,county/unitary
557,Find out about potholes,county/unitary
558,Find out personal injury caused by damage and/or hazards on roads and pavements,county/unitary
559,Find out about street furniture,county/unitary
561,Find out about road gritting,county/unitary
564,Find out about street lights,county/unitary
567,Find out about traffic lights,county/unitary
568,Find out about pedestrian crossings,county/unitary
571,Find out about speed limits,county/unitary
576,Find out about dead animal removal,district/unitary
577,Find out about dog fouling,district/unitary
580,Find out about street cleaning,district/unitary
584,Find out about graffiti problems,district/unitary
586,Find out about vandalism,district/unitary
587,Find out about flytipping,district/unitary
588,Find out about flyposting,district/unitary
591,Find out about spillages on the roads,all
600,Find out about dangerous buildings and structures,district/unitary
603,Find out about nuisance caused by demolition work,district/unitary
615,Find out about grants to local voluntary organisations,all
631,Find out about the chaperone service,county/unitary
664,Find out about blocked drains,district/unitary
684,Find out about open and derelict properties,district/unitary
703,Find out about emergency planning for a major incident,all
831,"Find out about local support groups for children, young people and families",all
850,Find out about hazardous waste collection,district/unitary
852,Find out about citizenship ceremonies,county/unitary
859,Find out about collection of clinical waste,district/unitary
860,Find out about liquor licences,district/unitary
867,Find out about local consultations,all
870,Find out about community safety,all
1116,Find out about Youth Opportunity Funding,county/unitary
1135,Find out about transport for 16-19 year olds in education,county/unitary
1140,Find out about emergency school closures,county/unitary
1145,Find your local 14-19 prospectus,county/unitary
1307,Get information on services disrupted by severe weather,all
1579,Find out about family information services,county/unitary
1580,Find out how to hold a street party,all
1741,Find out about free early education,county/unitary
1742,Find the location of weighbridges,county/unitary
1743,Find out about the Care Act 2014,county/unitary
