PROCESSED,BASE_PATH,REDIRECT,REDIRECT_TYPE,410 (GONE),404 (NOT FOUND),LOCALE,DOCUMENT_TYPE,CONTENT_ID
,/access-finance-hbv-loan-funds,/business-finance-support-finder,prefix,,,en,placeholder,eae7f9e6-50d6-47a2-8375-a17a87edcd11
,/accessiblebritain,/government/collections/accessible-britain-challenge-creating-inclusive-communities-for-disabled-people,exact,,,en,campaign,d7b9c981-6c00-4b42-b5b8-0447d091844f
,/accidents-at-work,,,,404,en,answer,ef359e9e-43af-4cd4-bb80-d26b899faf33
,/active-belfast-grants,/business-finance-support-finder,prefix,,,en,business_support,ab8c53e6-947b-4cd6-80e2-0b6573d88ef8
,/advanced-learning-loans,/advanced-learner-loan,prefix,,,en,placeholder,29c00c2e-e525-4ebc-866b-e1ecf5c66445
,/advanced-manufacturing-supply-chain-initiative,/business-finance-support-finder,exact,,,en,business_support,4ecce01d-cd01-472e-ac5b-ada1eb5cdc53
,/advisory-services-fermanagh,/fermanagh-enterprise-limited,prefix,,,en,business_support,5eb34b8e-bceb-42f9-b446-d8ec22ada6dd
,/agricultural-and-forestry-processing-and-marketing-grant-scheme,,prefix,410,,en,business_support,3c117a7e-5cbf-4b7e-81ad-c25b1ee56c57
,/alcohol-and-tobacco-excise-duty,/tax-on-shopping/alcohol-tobacco,exact,,,,placeholder,ecc5c628-4140-4027-aa7b-e3785d2b4185
,/amusement-machine-licence-all-uk,/machine-game-duty,prefix,,,en,placeholder,bf8b169c-7438-4dcd-b525-08b588637ce8
,/animal-movement-england,/government/collections/general-licence-for-the-movement-of-pigs-sheep-and-goats,prefix,,,en,licence,7bcce4b9-55c0-4480-bcc1-3a8792681e74
,/animal-movement-licence-scotland,/government/collections/general-licence-for-the-movement-of-pigs-sheep-and-goats,prefix,,,en,licence,3d33256b-8636-4a02-8cf9-05e03bb5ca70
,/animal-movement-wales,/government/collections/general-licence-for-the-movement-of-pigs-sheep-and-goats,prefix,,,en,licence,5af35ea6-3437-4b49-ad9e-e82bbf8ddcbe
,/annual-accounting-scheme,/vat-annual-accounting-scheme,exact,,,en,business_support,7a224c9d-2362-4178-b2e4-f68164c241c5
,/appeal-council-housing-decision,/council-housing/complaints,prefix,,,en,local_transaction,24506e8a-67e3-4cf1-9583-75866f226838
,/appeal-school-admission-decision,/schools-admissions/appealing-a-schools-decision,prefix,,,en,placeholder,fd2be82e-2cfd-4d95-88c1-0304a89f1250
